Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ДокументСДвижениями	ДокументСДвижениями000000001От26_07_201816_05_51					
				Проведен	Истина		
				Ссылка	9ecb15f0-90d4-11e8-b3f4-704d7b681d9f		
				Дата	20180726160551		
			ТЧ				
				Реквизит1	Тест1		
				РесурсЧисло1	5		
			xddMods				
				Режим	ОбменДанными		
РегистрНакопления	РегистрНакопленияОстатки	РегистрНакопленияОстатки					
			Запись				
				ВидДвижения	Приход	Предопределенный	
				Активность	Истина		
				Регистратор	9ecb15f0-90d4-11e8-b3f4-704d7b681d9f	Гуид	
				Период	20180726160551		
				Измерение1	Тест1		
				РесурсЧисло1	5		
			Запись				
				ВидДвижения	Расход	Предопределенный	
				Активность	Истина		
				Регистратор	9ecb15f0-90d4-11e8-b3f4-704d7b681d9f	Гуид	
				Период	20180726160551		
				Измерение1	Тест1		
				РесурсЧисло1	5		
РегистрНакопления	РегистрНакопленияОбороты	РегистрНакопленияОбороты					
			Запись				
				Активность	Истина		
				Регистратор	9ecb15f0-90d4-11e8-b3f4-704d7b681d9f	Гуид	
				Период	20180726160551		
				Измерение1	Тест1		
				РесурсЧисло1	5		
