Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ПростойСправочник	ПредопределенноеЗначение			ПредопределенноеЗначение1	Предопределенный	
				Ссылка	f8459af8-a161-11e8-b3f5-704d7b681d9f		
				Наименование	Предопределенное значение		
			xddMods				
				Режим	ОбменДанными		
ПланВидовХарактеристик	ВидыСубконто1	Субконто1			Субконто1	Предопределенный	
				Наименование	Субконто1		
				Ссылка	2370eee4-a090-11e8-b3f5-704d7b681d9f		
			xddMods				
				Режим	ОбменДанными		
ПланСчетов	ПланСчетов1	_01			Счет01	Предопределенный	
				Наименование	Счет01		
				Код	01		
				Ссылка	2370eee1-a090-11e8-b3f5-704d7b681d9f		
			xddMods				
				Режим	ОбменДанными		
Справочник	ПростойСправочник2	ТестовыйЭлемент					
				Ссылка	f8459af9-a161-11e8-b3f5-704d7b681d9f		
				Наименование	Тестовый элемент		
				РеквизитБулево	Истина		
				Счет	_01	Перем	
			xddMods				
				Режим	ОбменДанными		
Документ	ДокументСДвижениями	ДокументСДвижениями000000063От17_08_201813_52_12					
				Проведен	Истина		
				Ссылка	97f8aeee-a20b-11e8-b3f5-704d7b681d9f		
				Дата	20180817135212		
				РеквизитПростойСправочник	ПредопределенноеЗначение	Перем	
				РеквизитПростойСправочник2	ТестовыйЭлемент	Перем	
			ТЧ				
				Реквизит1	ТестРБ		
				РесурсЧисло	3,5		
				РесурсЧисло1	5		
			xddMods				
				Режим	ОбменДанными		
ПланВидовХарактеристик	ВидыСубконто1	Субконто2			Субконто2	Предопределенный	
				Наименование	Субконто2		
				Ссылка	2370eee5-a090-11e8-b3f5-704d7b681d9f		
			xddMods				
				Режим	ОбменДанными		
ПланСчетов	ПланСчетов1	_02			Счет02	Предопределенный	
				Наименование	Счет02		
				Код	02		
				Ссылка	2370eee2-a090-11e8-b3f5-704d7b681d9f		
			xddMods				
				Режим	ОбменДанными		
ПланВидовРасчета	ПланВидовРасчета1	Предопределенный			Предопределенный	Предопределенный	
				Ссылка	97f8aeef-a20b-11e8-b3f5-704d7b681d9f		
				Наименование	Предопределенный		
			xddMods				
				Режим	ОбменДанными		
РегистрРасчета	РегистрРасчета1	РегистрРасчета1					
			Запись				
				ПериодРегистрации	20180801000000		
				Сторно	Ложь		
				Активность	Истина		
				ВидРасчета	Предопределенный	Перем	
				Регистратор	ДокументСДвижениями000000063От17_08_201813_52_12	Перем	
				ПростойСправочник	ПредопределенноеЗначение	Перем	
				РесурсЧисло	3,5		
				РеквизитБулево	Истина		
