Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Склады	Основной					
				Ссылка	989f977f-a76c-11e8-b3f5-704d7b681d9f		
				Наименование	Основной		
			xddMods				
				Режим	ОбменДанными		
Справочник	Товары	ВентиляторBinatone					
				Ссылка	989f9780-a76c-11e8-b3f5-704d7b681d9f		
				Наименование	Вентилятор Binatone		
			xddMods				
				Режим	ОбменДанными		
Документ	ПриходнаяНакладная	ПриходнаяНакладная000000001От24_08_201811_57_50					
				Проведен	Истина		
				Ссылка	989f9781-a76c-11e8-b3f5-704d7b681d9f		
				Дата	20180824115750		
				Склад	Основной	Перем	
			ТЧТовары				
				Товар	ВентиляторBinatone	Перем	
				Количество	3		
			xddMods				
				Режим	ОбменДанными		
